Date	repo_bnym 
2020-03-20	0.03000
2020-03-19	0.05000
2020-03-18	0.10000
2020-03-17	0.50000
2020-03-16	0.23000
2020-03-13	1.08000
2020-03-12	1.20000
2020-03-11	1.14000
2020-03-10	1.10000
2020-03-09	1.08000
2020-03-06	1.08000
2020-03-05	1.11000
2020-03-04	1.22000
2020-03-03	1.63000
2020-03-02	1.57000
2020-02-28	1.59000
2020-02-27	1.57000
2020-02-26	1.57000
2020-02-25	1.57000
2020-02-24	1.56000
2020-02-21	1.56000
2020-02-20	1.59000
2020-02-19	1.57000
2020-02-18	1.58000
2020-02-14	1.56000
2020-02-13	1.55000
2020-02-12	1.55000
2020-02-11	1.56000
2020-02-10	1.56000
2020-02-07	1.56000
2020-02-06	1.57000
2020-02-05	1.57000
2020-02-04	1.58000
2020-02-03	1.57000
2020-01-31	1.57000
2020-01-30	1.55000
2020-01-29	1.51000
2020-01-28	1.51000
2020-01-27	1.51000
2020-01-24	1.51000
2020-01-23	1.51000
2020-01-22	1.51000
2020-01-21	1.52000
2020-01-17	1.52000
2020-01-16	1.52000
2020-01-15	1.53000
2020-01-14	1.52000
2020-01-13	1.52000
2020-01-10	1.52000
2020-01-09	1.52000
2020-01-08	1.52000
2020-01-07	1.53000
2020-01-06	1.52000
2020-01-03	1.52000
2020-01-02	1.50000
2019-12-31	1.55000
2019-12-30	1.52000
2019-12-27	1.50000
2019-12-26	1.49000
2019-12-24	1.50000
2019-12-23	1.50000
2019-12-20	1.49000
2019-12-19	1.50000
2019-12-18	1.50000
2019-12-17	1.50000
2019-12-16	1.60000
2019-12-13	1.50000
2019-12-12	1.49000
2019-12-11	1.50000
2019-12-10	1.51000
2019-12-09	1.53000
2019-12-06	1.52000
2019-12-05	1.52000
2019-12-04	1.50000
2019-12-03	1.51000
2019-12-02	1.60000
2019-11-29	1.62000
2019-11-27	1.50000
2019-11-26	1.51000
2019-11-25	1.54000
2019-11-22	1.56000
2019-11-21	1.55000
2019-11-20	1.54000
2019-11-19	1.53000
2019-11-18	1.52000
2019-11-15	1.55000
2019-11-14	1.55000
2019-11-13	1.54000
2019-11-12	1.54000
2019-11-08	1.53000
2019-11-07	1.53000
2019-11-06	1.53000
2019-11-05	1.55000
2019-11-04	1.54000
2019-11-01	1.55000
2019-10-31	1.73000
2019-10-30	1.80000
2019-10-29	1.78000
2019-10-28	1.80000
2019-10-25	1.81000
2019-10-24	1.85000
2019-10-23	1.84000
2019-10-22	1.85000
2019-10-21	1.83000
2019-10-18	1.85000
2019-10-17	1.93000
2019-10-16	2.02000
2019-10-15	1.96000
2019-10-11	1.82000
2019-10-10	1.82000
2019-10-09	1.82000
2019-10-08	1.82000
2019-10-07	1.80000
2019-10-04	1.79000
2019-10-03	1.81000
2019-10-02	1.82000
2019-10-01	1.84000
2019-09-30	2.35000
2019-09-27	1.80000
2019-09-26	1.82000
2019-09-25	2.00000
2019-09-24	1.94000
2019-09-23	1.82000
2019-09-20	1.85000
2019-09-19	1.91000
2019-09-18	2.50000
2019-09-17	5.25000
2019-09-16	2.42000
2019-09-13	2.19000
2019-09-12	2.18000
2019-09-11	2.14000
2019-09-10	2.13000
2019-09-09	2.11000
2019-09-06	2.15000
2019-09-05	2.20000
2019-09-04	2.21000
2019-09-03	2.15000
2019-08-30	2.15000
2019-08-29	2.11000
2019-08-28	2.11000
2019-08-27	2.14000
2019-08-26	2.09000
2019-08-23	2.07000
2019-08-22	2.07000
2019-08-21	2.08000
2019-08-20	2.12000
2019-08-19	2.10000
2019-08-16	2.12000
2019-08-15	2.18000
2019-08-14	2.12000
2019-08-13	2.16000
2019-08-12	2.11000
2019-08-09	2.10000
2019-08-08	2.07000
2019-08-07	2.09000
2019-08-06	2.10000
2019-08-05	2.12000
2019-08-02	2.18000
2019-08-01	2.19000
2019-07-31	2.53000
2019-07-30	2.38000
2019-07-29	2.39000
2019-07-26	2.40000
2019-07-25	2.41000
2019-07-24	2.40000
2019-07-23	2.38000
2019-07-22	2.38000
2019-07-19	2.40000
2019-07-18	2.44000
2019-07-17	2.45000
2019-07-16	2.44000
2019-07-15	2.43000
2019-07-12	2.34000
2019-07-11	2.40000
2019-07-10	2.45000
2019-07-09	2.45000
2019-07-08	2.46000
2019-07-05	2.58000
2019-07-03	2.55000
2019-07-02	2.49000
2019-07-01	2.38000
2019-06-28	2.50000
2019-06-27	2.40000
2019-06-26	2.43000
2019-06-25	2.40000
2019-06-24	2.38000
2019-06-21	2.35000
2019-06-20	2.33000
2019-06-19	2.34000
2019-06-18	2.36000
2019-06-17	2.38000
2019-06-14	2.32000
2019-06-13	2.34000
2019-06-12	2.36000
2019-06-11	2.36000
2019-06-10	2.37000
2019-06-07	2.37000
2019-06-06	2.37000
2019-06-05	2.36000
2019-06-04	2.36000
2019-06-03	2.37000
2019-05-31	2.48000
2019-05-30	2.39000
2019-05-29	2.39000
2019-05-28	2.38000
2019-05-24	2.34000
2019-05-23	2.34000
2019-05-22	2.34000
2019-05-21	2.36000
2019-05-20	2.36000
2019-05-17	2.39000
2019-05-16	2.40000
2019-05-15	2.45000
2019-05-14	2.36000
2019-05-13	2.35000
2019-05-10	2.37000
2019-05-09	2.38000
2019-05-08	2.40000
2019-05-07	2.41000
2019-05-06	2.40000
2019-05-03	2.41000
2019-05-02	2.46000
2019-05-01	2.50000
2019-04-30	2.75000
2019-04-29	2.47000
2019-04-26	2.45000
2019-04-25	2.41000
2019-04-24	2.41000
2019-04-23	2.45000
2019-04-22	2.43000
2019-04-18	2.46000
2019-04-17	2.47000
2019-04-16	2.43000
2019-04-15	2.43000
2019-04-12	2.40000
2019-04-11	2.40000
2019-04-10	2.42000
2019-04-09	2.42000
2019-04-08	2.43000
2019-04-05	2.43000
2019-04-04	2.43000
2019-04-03	2.43000
2019-04-02	2.43000
2019-04-01	2.41000
2019-03-29	2.60000
2019-03-28	2.42000
2019-03-27	2.38000
2019-03-26	2.37000
2019-03-25	2.37000
2019-03-22	2.38000
2019-03-21	2.43000
2019-03-20	2.46000
2019-03-19	2.40000
2019-03-18	2.38000
2019-03-15	2.43000
2019-03-14	2.39000
2019-03-13	2.38000
2019-03-12	2.37000
2019-03-11	2.36000
2019-03-08	2.36000
2019-03-07	2.37000
2019-03-06	2.36000
2019-03-05	2.36000
2019-03-04	2.36000
2019-03-01	2.37000
2019-02-28	2.56000
2019-02-27	2.37000
2019-02-26	2.37000
2019-02-25	2.37000
2019-02-22	2.37000
2019-02-21	2.37000
2019-02-20	2.38000
2019-02-19	2.38000
2019-02-15	2.41000
2019-02-14	2.37000
2019-02-13	2.36000
2019-02-12	2.36000
2019-02-11	2.40000
2019-02-08	2.35000
2019-02-07	2.36000
2019-02-06	2.35000
2019-02-05	2.37000
2019-02-04	2.39000
2019-02-01	2.44000
2019-01-31	2.55000
2019-01-30	2.36000
2019-01-29	2.37000
2019-01-28	2.37000
2019-01-25	2.38000
2019-01-24	2.40000
2019-01-23	2.38000
2019-01-22	2.37000
2019-01-18	2.37000
2019-01-17	2.37000
2019-01-16	2.37000
2019-01-15	2.41000
2019-01-14	2.38000
2019-01-11	2.38000
2019-01-10	2.41000
2019-01-09	2.44000
2019-01-08	2.40000
2019-01-07	2.39000
2019-01-04	2.43000
2019-01-03	2.70000
2019-01-02	3.10000
2018-12-31	2.95000
2018-12-28	2.45000
2018-12-27	2.43000
2018-12-26	2.43000
2018-12-24	2.41000
2018-12-21	2.39000
2018-12-20	2.40000
2018-12-19	2.29000
2018-12-18	2.31000
2018-12-17	2.28000
2018-12-14	2.19000
2018-12-13	2.18000
2018-12-12	2.17000
2018-12-11	2.17000
2018-12-10	2.20000
2018-12-07	2.28000
2018-12-06	2.31000
2018-12-05	2.23000
2018-12-04	2.28000
2018-12-03	2.22000
2018-11-30	2.27000
2018-11-29	2.23000
2018-11-28	2.19000
2018-11-27	2.18000
2018-11-26	2.18000
2018-11-23	2.22000
2018-11-21	2.17000
2018-11-20	2.18000
2018-11-19	2.22000
2018-11-16	2.25000
2018-11-15	2.26000
2018-11-14	2.17000
2018-11-13	2.17000
2018-11-09	2.19000
2018-11-08	2.20000
2018-11-07	2.17000
2018-11-06	2.22000
2018-11-05	2.23000
2018-11-02	2.24000
2018-11-01	2.20000
2018-10-31	2.20000
2018-10-30	2.17000
2018-10-29	2.17000
2018-10-26	2.17000
2018-10-25	2.17000
2018-10-24	2.16000
2018-10-23	2.15000
2018-10-22	2.17000
2018-10-19	2.17000
2018-10-18	2.18000
2018-10-17	2.17000
2018-10-16	2.17000
2018-10-15	2.19000
2018-10-12	2.16000
2018-10-11	2.16000
2018-10-10	2.14000
2018-10-09	2.13000
2018-10-05	2.14000
2018-10-04	2.17000
2018-10-03	2.18000
2018-10-02	2.19000
2018-10-01	2.20000
2018-09-28	2.24000
2018-09-27	2.15000
2018-09-26	1.91000
2018-09-25	1.91000
2018-09-24	1.94000
2018-09-21	1.90000
2018-09-20	1.90000
2018-09-19	1.90000
2018-09-18	1.91000
2018-09-17	1.97000
2018-09-14	1.91000
2018-09-13	1.91000
2018-09-12	1.92000
2018-09-11	1.92000
2018-09-10	1.92000
2018-09-07	1.91000
2018-09-06	1.91000
2018-09-05	1.93000
2018-09-04	1.93000
2018-08-31	1.95000
2018-08-30	1.93000
2018-08-29	1.92000
2018-08-28	1.94000
2018-08-27	1.94000
2018-08-24	1.94000
2018-08-23	1.92000
2018-08-22	1.89000
2018-08-21	1.88000
2018-08-20	1.89000
2018-08-17	1.90000
2018-08-16	1.98000
2018-08-15	1.97000
2018-08-14	1.91000
2018-08-13	1.89000
2018-08-10	1.88000
2018-08-09	1.90000
2018-08-08	1.87000
2018-08-07	1.86000
2018-08-06	1.84000
2018-08-03	1.83000
2018-08-02	1.90000
2018-08-01	1.86000
2018-07-31	1.91000
2018-07-30	1.86000
2018-07-27	1.87000
2018-07-26	1.89000
2018-07-25	1.86000
2018-07-24	1.89000
2018-07-23	1.86000
2018-07-20	1.86000
2018-07-19	1.88000
2018-07-18	1.87000
2018-07-17	1.91000
2018-07-16	1.92000
