Op Type,RP,RP,RP,RRP,RRP,RRP
collateral,Agy,MBS,Tsy,Agy,MBS,Tsy
Deal Date,,,,,,
2000-07-07,0.0,0.0,2.505,,,
2000-07-10,0.09000000000000001,0.39999999999999997,5.275,,,
2000-07-11,0.83,0.0,1.675,,,
2000-07-12,0.55,0.25,3.205,,,
2000-07-13,0.0,0.0,4.0,,,
2000-07-14,,,,,,
2000-07-17,0.0,0.0,3.99,,,
2000-07-18,,,,,,
2000-07-19,,,,,,
2000-07-20,0.98,0.28,1.765,,,
2000-07-24,0.33,0.25,3.94,,,
2000-07-25,0.0,0.0,2.0,,,
2000-07-26,0.0,0.0,2.905,,,
2000-07-27,0.0,0.0,3.745,,,
2000-07-28,0.5,0.075,1.73,,,
2000-07-31,3.7,1.9,1.85,,,
2000-08-01,1.665,0.46,0.87,,,
2000-08-04,,,,,,
2000-08-07,0.05,3.52,2.19,,,
2000-08-09,0.83,0.52,1.76,,,
2000-08-10,,,,,,
2000-08-11,,,,,,
2000-08-14,0.55,0.25,1.225,,,
2000-08-15,0.9,0.16,4.695,,,
2000-08-17,0.465,3.16,3.05,,,
2000-08-21,0.9,2.6,3.5,,,
2000-08-23,1.65,0.23,1.47,,,
2000-08-28,0.545,1.6900000000000002,1.77,,,
2000-08-31,2.1750000000000003,2.6,1.815,,,
2000-09-01,0.0,0.0,2.755,,,
2000-09-05,0.1,1.545,6.11,,,
2000-09-06,0.09,0.0,4.66,,,
2000-09-07,0.0,0.0,4.23,,,
2000-09-11,0.0,0.3,4.645,,,
2000-09-13,0.0,0.0,1.995,,,
2000-09-14,0.85,0.34,6.0,,,
2000-09-15,0.415,0.19,1.895,,,
2000-09-18,1.0699999999999998,1.15,2.23,,,
2000-09-19,0.66,0.5,2.34,,,
2000-09-20,0.235,0.0,3.76,,,
2000-09-21,0.605,1.485,1.41,,,
2000-09-22,0.5,0.0,0.57,,,
2000-09-25,2.33,0.165,1.25,,,
2000-09-27,1.9,0.25,0.125,,,
2000-09-28,2.24,0.0,1.485,,,
2000-09-29,2.15,0.3,1.25,,,
2000-10-02,2.8099999999999996,1.585,1.4649999999999999,,,
2000-10-04,1.81,0.35,0.325,,,
2000-10-05,0.675,0.0,0.765,,,
2000-10-10,2.32,0.43,3.45,,,
2000-10-11,0.0,0.03,1.57,,,
2000-10-12,0.295,0.08,5.375,,,
2000-10-13,0.4,0.225,1.625,,,
2000-10-16,0.275,3.425,3.9,,,
2000-10-17,,,,,,
2000-10-18,0.5529999999999999,0.185,2.51,,,
2000-10-19,0.94,0.0,3.295,,,
2000-10-20,0.0,0.0,1.5,,,
2000-10-23,0.85,0.695,3.575,,,
2000-10-26,0.01,0.005,3.485,,,
2000-10-27,0.15,1.365,1.48,,,
2000-10-30,0.465,0.4,3.33,,,
2000-10-31,4.525,0.7,1.225,,,
2000-11-01,0.0,0.0,5.5,,,
2000-11-02,0.075,0.1,6.615,,,
2000-11-03,0.1,0.0,1.65,,,
2000-11-06,0.855,0.225,4.904999999999999,,,
2000-11-07,,,,,,
2000-11-09,1.3199999999999998,0.5700000000000001,3.365,,,
2000-11-10,0.065,0.065,1.88,,,
2000-11-13,0.175,1.49,4.055,,,
2000-11-14,1.405,0.0,3.9,,,
2000-11-15,4.6,0.97,0.93,,,
2000-11-16,0.615,0.515,5.88,,,
2000-11-17,0.27,0.0,0.735,,,
2000-11-20,1.26,2.88,1.48,,,
2000-11-21,0.025,0.0,1.48,,,
2000-11-22,0.9,2.245,1.86,,,
2000-11-24,0.61,0.57,2.22,,,
2000-11-27,2.74,0.91,1.855,,,
2000-11-29,0.96,0.0,2.045,,,
2000-11-30,1.3399999999999999,2.3499999999999996,6.5649999999999995,,,
2000-12-01,0.0,0.0,4.0,,,
2000-12-04,0.07,0.0,2.93,,,
2000-12-05,0.0,0.0,1.85,,,
2000-12-06,0.0,0.0,1.5,,,
2000-12-07,0.9,1.44,2.16,,,
2000-12-11,1.38,0.0,5.115,,,
2000-12-12,,,,,,
2000-12-13,0.865,0.34,5.05,,,
2000-12-14,0.83,0.475,0.7,,,
2000-12-15,1.28,0.3,3.17,,,
2000-12-18,0.9249999999999999,1.7000000000000002,6.050000000000001,,,
2000-12-19,0.0,0.0,1.505,,,
2000-12-20,0.0,0.0,3.75,,,
2000-12-21,3.075,4.37,0.8200000000000001,,,
2000-12-26,5.8549999999999995,4.51,1.645,,,
2000-12-27,4.36,2.02,0.38,,,
2000-12-28,8.495000000000001,5.17,1.585,,,
2000-12-29,1.15,2.1,1.65,,,
2001-01-02,1.825,4.6850000000000005,3.9949999999999997,,,
2001-01-04,0.25,0.0,1.75,,,
2001-01-05,1.475,0.235,3.79,,,
2001-01-08,0.38,1.15,4.57,,,
2001-01-09,1.335,0.0,2.665,,,
2001-01-10,2.315,1.085,3.5,,,
2001-01-11,4.91,1.5699999999999998,1.005,,,
2001-01-12,0.345,0.985,0.67,,,
2001-01-16,4.4,1.25,3.0949999999999998,,,
2001-01-17,1.035,1.17,0.3,,,
2001-01-18,0.075,0.2,2.97,,,
2001-01-19,0.77,0.915,0.07,,,
2001-01-22,3.27,0.875,2.8499999999999996,,,
2001-01-23,1.095,0.105,0.8,,,
2001-01-24,1.32,1.305,5.63,,,
2001-01-25,2.045,0.12,4.585,,,
2001-01-26,0.9,0.0,3.1,,,
2001-01-29,0.85,1.005,5.65,,,
2001-01-30,1.235,0.0,4.525,,,
2001-01-31,1.475,0.45,1.0,,,
2001-02-01,3.935,0.65,6.9,,,
2001-02-05,1.1400000000000001,0.465,4.9,,,
2001-02-06,0.535,0.165,1.8,,,
2001-02-07,2.765,1.8,0.925,,,
2001-02-08,0.865,0.77,2.13,,,
2001-02-09,,,,,,
2001-02-12,0.56,0.745,0.7,,,
2001-02-13,,,,,,
2001-02-14,,,,,,
2001-02-15,0.85,0.25,3.65,,,
2001-02-16,0.39,0.0,1.36,,,
2001-02-20,2.25,1.67,4.585,,,
2001-02-21,0.93,0.0,2.07,,,
2001-02-22,2.16,0.9,1.195,,,
2001-02-23,,,,,,
2001-02-26,2.855,2.16,0.98,,,
2001-02-28,2.165,2.04,3.445,,,
2001-03-01,2.52,0.45,1.0270000000000001,,,
2001-03-02,0.255,0.0,1.245,,,
2001-03-05,0.995,0.0,5.005,,,
2001-03-06,0.94,0.265,0.795,,,
2001-03-07,1.95,0.025,2.95,,,
2001-03-08,0.33999999999999997,0.21,6.705,,,
2001-03-09,0.0,0.0,3.745,,,
2001-03-12,0.585,1.525,5.385,,,
2001-03-15,2.255,1.61,0.135,,,
2001-03-16,1.39,0.58,0.78,,,
2001-03-19,1.39,2.8600000000000003,0.75,,,
2001-03-21,8.18,2.5,6.125,,,
2001-03-22,2.725,0.26,0.015,,,
2001-03-26,0.0,0.0,2.0,,,
2001-03-29,2.09,0.495,6.92,,,
2001-03-30,2.475,1.39,2.63,,,
2001-04-02,1.0,0.33299999999999996,7.567,,,
2001-04-03,0.0,0.0,5.5,,,
2001-04-04,0.0,0.0,6.0,,,
2001-04-05,2.98,1.905,7.365,,,
2001-04-09,0.55,0.75,0.7,,,
2001-04-16,0.665,1.175,8.17,,,
2001-04-17,1.225,0.275,4.254,,,
2001-04-18,0.75,0.35,3.65,,,
2001-04-19,2.12,1.94,5.145,,,
2001-04-23,0.742,0.75,0.5,,,
2001-04-24,,,,,,
2001-04-26,4.75,3.1849999999999996,1.37,,,
2001-04-27,1.4,0.2,0.4,,,
2001-04-30,3.195,0.855,3.45,,,
2001-05-01,0.99,2.76,1.75,,,
2001-05-02,2.115,0.665,1.47,,,
2001-05-03,5.155,1.795,3.8,,,
2001-05-07,0.24,0.0,1.765,,,
2001-05-08,,,,,,
2001-05-09,0.06,0.0,2.94,,,
2001-05-10,0.0,0.0,3.5,,,
2001-05-11,1.645,0.355,1.5,,,
2001-05-14,2.95,1.45,2.9,,,
2001-05-15,1.105,1.29,2.605,,,
2001-05-16,4.074999999999999,6.574999999999999,0.3,,,
2001-05-17,0.15,0.91,3.94,,,
2001-05-18,0.25,0.025,2.725,,,
2001-05-21,3.38,0.345,1.775,,,
2001-05-22,0.39,2.0,1.11,,,
2001-05-23,2.83,0.0,0.42,,,
2001-05-24,0.4,3.15,3.8499999999999996,,,
2001-05-25,1.43,0.0,0.57,,,
2001-05-29,4.8,2.4,2.725,,,
2001-05-30,6.35,1.03,4.17,,,
2001-05-31,9.885000000000002,1.625,1.7449999999999999,,,
2001-06-01,1.605,0.0,1.395,,,
2001-06-04,0.0,0.0,4.75,,,
2001-06-05,0.18,0.0,1.32,,,
2001-06-06,,,,,,
2001-06-07,0.0,0.365,3.135,,,
2001-06-11,2.26,0.805,3.935,,,
2001-06-14,3.5,2.0,0.0,,,
2001-06-15,1.45,0.2,0.85,,,
2001-06-18,0.855,0.0,5.395,,,
2001-06-19,0.195,0.45,0.855,,,
2001-06-20,1.355,0.215,0.18,,,
2001-06-21,0.07,1.93,1.5,,,
2001-06-22,0.0,0.0,1.5,,,
2001-06-25,0.61,2.275,2.62,,,
2001-06-27,2.06,0.235,1.705,,,
2001-06-28,4.390000000000001,2.225,3.135,,,
2001-06-29,0.6,1.05,1.85,,,
2001-07-02,0.595,0.5,6.255,,,
2001-07-03,0.445,0.63,1.925,,,
2001-07-05,0.725,0.165,3.36,,,
2001-07-06,0.0,0.0,2.0,,,
2001-07-09,0.58,0.5,5.675,,,
2001-07-10,2.1,0.0,1.65,,,
2001-07-11,4.195,0.61,2.6950000000000003,,,
2001-07-12,1.575,0.0,7.425,,,
2001-07-13,0.0,0.0,3.35,,,
2001-07-16,0.19,0.0,7.3100000000000005,,,
2001-07-17,0.0,0.05,1.45,,,
2001-07-18,0.0,0.0,1.5,,,
2001-07-19,0.075,0.185,4.74,,,
2001-07-20,0.0,0.0,2.25,,,
2001-07-23,0.13,0.095,8.775,,,
2001-07-24,0.025,0.9,1.075,,,
2001-07-25,4.415,0.9650000000000001,5.32,,,
2001-07-26,0.735,1.225,5.64,,,
2001-07-27,0.0,0.0,3.75,,,
2001-07-30,1.0,0.0,3.1,,,
2001-07-31,1.39,1.3,1.81,,,
2001-08-01,0.745,0.72,3.835,,,
2001-08-02,0.07,0.2,6.4799999999999995,,,
2001-08-06,2.93,1.4549999999999998,3.865,,,
2001-08-08,2.22,0.955,1.07,,,
2001-08-09,0.0,0.205,7.645,,,
2001-08-10,0.0,0.0,1.745,,,
2001-08-13,0.2,0.7,4.85,,,
2001-08-14,0.0,0.895,5.605,,,
2001-08-15,0.2,0.0,4.645,,,
2001-08-16,0.145,0.145,5.205,,,
2001-08-17,0.08,0.0,2.17,,,
2001-08-20,1.15,0.7849999999999999,4.585,,,
2001-08-22,1.7799999999999998,1.395,7.075,,,
2001-08-23,1.4600000000000002,0.0,4.784999999999999,,,
2001-08-27,0.4,0.325,3.53,,,
2001-08-28,0.05,0.0,3.2,,,
2001-08-29,0.11,0.17,3.97,,,
2001-08-30,0.0,1.73,5.02,,,
2001-08-31,1.3,0.0,3.2,,,
2001-09-04,0.6,1.3,4.05,,,
2001-09-05,0.085,0.0,1.925,,,
2001-09-06,2.975,0.335,9.945,,,
2001-09-10,0.46,0.0,1.54,,,
2001-09-12,0.0,0.0,38.25,,,
2001-09-13,0.0,0.0,70.2,,,
2001-09-14,0.0,0.0,81.25,,,
2001-09-17,0.0,0.0,57.25,,,
2001-09-18,0.0,0.0,36.25,,,
2001-09-19,0.0,0.0,50.35,,,
2001-09-20,5.0,0.0,2.0,,,
2001-09-21,1.0,0.0,0.0,,,
2001-09-24,0.995,2.295,5.215,,,
2001-09-25,4.13,2.2,3.7,,,
2001-09-26,1.3,0.81,5.395,,,
2001-09-27,1.6,4.5,1.0,,,
