,gcf_tsy,gcf_mbs
2005-01-03,2.176,2.314
2005-01-04,2.145,2.285
2005-01-05,2.136,2.285
2005-01-06,2.18,2.297
2005-01-07,2.123,2.283
2005-01-10,2.125,2.28
2005-01-11,2.13,2.265
2005-01-12,2.114,2.248
2005-01-13,2.211,2.277
2005-01-14,2.249,2.296
2005-01-17,,
2005-01-18,2.279,2.341
2005-01-19,2.192,2.259
2005-01-20,2.155,2.236
2005-01-21,2.149,2.22
2005-01-24,2.193,2.252
2005-01-25,2.197,2.261
2005-01-26,2.247,2.318
2005-01-27,2.281,2.35
2005-01-28,2.392,2.441
2005-01-31,2.483,2.542
2005-02-01,2.447,3.824
2005-02-02,2.394,2.482
2005-02-03,2.426,2.472
2005-02-04,2.436,2.477
2005-02-07,2.454,2.506
2005-02-08,2.43,2.484
2005-02-09,2.445,2.488
2005-02-10,2.491,2.517
2005-02-11,2.498,2.535
2005-02-14,2.521,2.564
2005-02-15,2.55,2.586
2005-02-16,2.461,2.496
2005-02-17,2.494,2.508
2005-02-18,2.456,2.483
2005-02-21,,
2005-02-22,2.479,2.502
2005-02-23,2.489,2.527
2005-02-24,2.535,2.557
2005-02-25,2.551,2.579
2005-02-28,2.604,2.659
2005-03-01,2.503,2.539
2005-03-02,2.436,2.456
2005-03-03,2.49,2.513
2005-03-04,2.465,2.489
2005-03-07,2.492,2.514
2005-03-08,2.47,2.491
2005-03-09,2.484,2.484
2005-03-10,2.515,2.529
2005-03-11,2.518,2.518
2005-03-14,2.541,2.563
2005-03-15,2.606,2.639
2005-03-16,2.515,2.554
2005-03-17,2.596,2.621
2005-03-18,2.676,2.708
2005-03-21,2.688,2.739
2005-03-22,2.658,2.708
2005-03-23,2.641,2.689
2005-03-24,2.66,2.721
2005-03-25,,
2005-03-28,2.745,2.817
2005-03-29,2.716,2.794
2005-03-30,2.664,2.763
2005-03-31,2.583,2.938
2005-04-01,2.769,2.865
2005-04-04,2.764,2.794
2005-04-05,2.721,2.772
2005-04-06,2.713,2.747
2005-04-07,2.738,2.769
2005-04-08,2.748,2.761
2005-04-11,2.758,2.775
2005-04-12,2.751,2.771
2005-04-13,2.806,2.782
2005-04-14,2.813,2.864
2005-04-15,2.795,2.856
2005-04-18,2.692,2.749
2005-04-19,2.678,2.751
2005-04-20,2.67,2.741
2005-04-21,2.646,2.741
2005-04-22,2.671,2.752
2005-04-25,2.709,2.773
2005-04-26,2.771,2.821
2005-04-27,2.76,2.839
2005-04-28,2.81,2.919
2005-04-29,2.866,2.974
2005-05-02,2.942,2.986
2005-05-03,2.919,2.983
